dust,NO2,CO2,SO2,AQI
18.79,20.45,1.1,10.01,76
10.1,13.33,0.87,9.24,66
14.43,16.04,0.95,9.76,61
22.65,16.8,1.18,8.89,83
28.45,19.36,1.39,9.78,87
24.94,19.99,1.4,11.98,97
26.24,21.34,1.68,11.17,98
30.6,24.63,1.71,11.64,99
24.22,26.49,1.68,11.54,98
31.3,25.22,1.48,11.06,90
27.1,21.31,1.54,10.21,106
33.28,32.4,1.11,8.91,88
40.56,17.56,0.62,11.29,76
37.93,20.86,0.78,8.91,68
31.64,18.65,0.66,9.58,75
35.02,21.04,0.74,6.28,80
24.29,13.45,0.97,14.1,81
26.13,22.94,0.82,27,59
24.08,27.49,0.84,13.47,62
25.88,17.79,0.84,12.41,56
49.7,25.91,0.76,14.31,80
65.16,52.69,1.07,25.5,142
52.88,26.45,0.81,31.74,154
40.99,29.54,0.6,24.37,130
39.22,24.58,0.95,10.6,113
36.86,27.36,1.09,9.33,91
34.41,25.38,1.07,10.8,77
56.53,36.38,1.18,13.43,122
69.42,45.82,1.35,23.42,133
53.53,38.23,0.88,15.52,133
48.33,36.77,1.16,28.74,118
58.65,36.24,1.26,14.54,118
21.58,39.44,0.73,10.43,61
23.22,39.56,0.89,10.33,86
51.51,57.93,1.07,12.3,105
56.85,62.91,0.82,18.89,106
68.25,65,1.22,25.14,120
84.48,80.74,1.21,30.44,156
77.38,75.54,1.15,30.69,182
71.23,89.44,1.48,38.91,144
19.48,35.92,0.84,7.49,56
85.11,97.16,1.28,17.17,189
93.95,105.22,1.81,20.78,190
80.96,89.01,1.51,15.71,215
77.86,90.28,1.16,14.21,145
70.89,68.12,1.17,13.87,160
74.34,69.78,1.09,14.03,130
97.09,86.95,1.11,13.62,176
111.21,76.7,1.47,10.17,266
107.24,72.27,1.14,9.58,276
89.07,72.19,1.23,11.7,218
90.61,74.89,1.07,17.68,180
96.57,57.77,1.1,23.81,217
48.88,63.12,0.94,29.45,81
55.24,55.65,1.17,13.62,89
83.4,46.47,1,12.32,136
93.78,67.51,1.34,42.75,199
92.72,77.45,1.16,20.19,221
73.19,69.17,0.92,25.43,119
82.53,67.17,1.01,28.57,153
95.18,76.4,1.34,33.25,202
79.29,74.24,1.1,40.52,191
83.17,83.38,1.09,30.85,183
109.97,124.57,1.38,48.92,210
139.38,140.17,1.24,42.26,304
126.47,106.1,1.43,15.29,312
127.94,92.41,1.33,15.9,304
126.66,94.51,1.45,11.75,306
121.47,103.31,1.5,16.53,302
118.17,121.38,1.25,39.68,298
97.45,121.94,0.86,66.39,274
115.23,113.39,0.78,9.43,270
121.81,100.16,0.96,10.56,302
99.69,71.61,0.5,10.52,257
92.66,57.32,0.64,12.33,212
116.99,58.43,0.44,12.91,256
120.33,60.37,1.02,26.39,301
108.43,50.62,0.7,6.49,274
118,58.6,0.82,13.73,262
107.94,63.17,0.8,26.75,287
108.34,61.22,0.72,11.71,262
96.45,71.77,0.91,16,242
100.34,60.14,0.85,13.57,230
62.74,43.14,0.87,11.48,113
51.67,55.79,1.28,15.66,91
54.24,56.1,0.98,27.99,96
47.81,65.34,1.02,26.84,111
84.99,71.78,1.39,15.58,143
63.05,68.18,1.06,13.42,141
71.09,85.01,1.15,10.68,130
73.21,61.14,1.11,16.63,150
81.64,83.44,1.58,12.92,159
81.71,74.7,1.03,18.7,178
75.52,25.85,0.74,12.37,159
65.56,23.26,0.86,16.7,115
70.86,28.42,0.74,10.43,121
69.96,35.52,0.84,9.78,157
60.11,22.82,0.7,6.98,116
38.35,21.18,0.72,8.3,96
36.92,25.18,0.64,14.78,96
43.16,28.73,0.8,9.67,126
42.51,24.64,0.53,14.5,131
33.88,18.86,0.51,13.5,95
20.92,13.32,0.56,15.85,60
49.2,16.7,0.69,15.37,120
42.1,13.22,0.57,11.6,105
16.39,8.68,0.62,10.98,92
12.88,9.92,0.69,12.43,86
10.66,8.02,0.35,12.07,56
12.77,8.45,0.53,14.06,78
27,15.67,0.41,13.33,74
32.79,17.4,0.4,9.21,97
39.77,24.88,0.45,8.16,107
43.78,19.29,0.64,11.35,130
40.96,14.19,0.46,7.42,110
40.08,14.86,0.58,7.89,98
22.52,13.59,0.56,10.99,101
22.09,9.6,0.68,9.51,85
25.39,7.75,0.7,9.14,85
21.71,6.24,0.5,7.63,60
23.56,12.03,0.53,10.27,56
23.68,14.63,0.53,8.61,67
17.99,8.02,0.47,9.11,79
17.03,10.15,0.5,13.84,45
20.58,9.93,0.49,10.38,53
24,10.84,0.54,12.07,69
27.44,12.49,0.54,12.69,65
24.11,9.81,0.45,8.19,78
28.43,9.49,0.56,17.06,83
33,9.26,0.58,16.56,64
37.09,7.48,0.69,12.4,102
30.05,8.62,0.71,14.7,92
20.75,5.59,0.48,9.15,58
13.97,7.21,0.64,10.24,76
18.72,6.06,0.67,13.03,78
22.07,5.25,0.62,12.96,91
19.4,7.03,0.76,10.88,124
13.49,4.2,0.57,12.69,75
20.68,4.48,0.63,10.9,73
16.52,3.14,0.61,8.92,101
15.91,2.04,0.4,13.09,64
17.24,5.32,0.58,14.02,80
25.87,9.61,0.39,11.84,85
15.77,6.04,0.36,14.45,80
23.75,11.38,0.64,18.42,84
25.36,20.61,0.65,22.54,79
32.7,17.13,0.54,15.71,91
20.21,13.78,0.51,10.6,79
11.55,13.27,0.59,12.58,82
9.39,12.29,0.35,17.07,45
9.77,12.59,0.32,21.81,41
21.38,19.85,0.48,23.3,78
24.68,29.05,0.58,16.03,124
17.58,18.08,0.48,12.66,73
28.05,18.74,0.48,12.78,71
27.98,18.31,0.51,8.71,79
23.32,16.88,0.66,16.4,78
15.52,15.11,0.42,13.67,57
12.11,15.46,0.31,12.72,46
19.03,19.23,0.4,13.57,58
27.18,23.54,0.64,26.8,83
38.9,27.29,0.98,16.06,109
57.73,35.92,0.78,16.59,148
44.49,22.32,0.53,16.97,158
39.76,23.24,0.52,15.33,146
47.3,20.22,0.64,22.25,133
39.81,18.58,0.44,13.03,122
