dust,NO2,CO2,SO2,AQI
20.92,13.74,0.78,6.25,88
30.1,14.15,0.76,1.95,93
43.88,15.46,0.89,2.35,112
44.86,14.56,0.84,2.63,138
56.47,12.76,0.75,2.59,124
20.96,4.88,0.84,2.72,106
15.44,4.94,0.86,2.45,72
92.14,8.35,0.63,5.91,167
84.74,8.41,0.66,5.46,206
72.32,8.25,0.59,5.99,149
67.71,8.47,0.69,5.01,131
74.3,8.61,0.61,5.77,127
104.43,8.4,0.63,5.03,252
52.81,8.31,0.58,5.9,134
51.88,8.33,0.63,5.56,102
62.72,8.56,0.58,6.65,114
74.08,8.34,0.53,5.85,132
72.53,8.3,0.48,5.72,134
108.07,8.24,0.97,7.2,225
74.32,8.36,0.98,6.52,196
66.86,8.69,0.74,6.42,113
75.49,22.51,0.92,5.16,130
99.15,8.55,1.56,6.51,254
48.66,8.57,1.26,6.14,200
67.25,8.4,1.24,6.23,164
61.84,9.97,1.8,6.29,174
59.22,9.6,1.23,3.13,164
54.7,29.71,2.1,6.52,148
29.87,6.05,0.75,11.15,133
83.88,13.99,2.82,7.38,221
39.78,15.08,0,7.19,154
21.99,16.14,1.34,12.55,86
57.96,9.12,0.16,10.6,101
51.58,9.3,0.18,7.1,107
41.99,9.2,0.46,6.03,95
43.36,9.17,0.15,9.03,93
52.64,10.8,0.23,7.33,88
28.48,10.06,0.47,7.25,81
28.43,9.41,0,3.1,49
22.09,9.35,0,2.67,49
24.9,8.82,0,3.84,55
26.85,8.06,0.41,9.02,67
27.89,5.99,0.42,6.07,64
25.89,6.06,0.34,3.75,54
23.24,6.02,0.36,4.05,50
24.15,5.21,0.37,3.71,74
28.38,4.85,0.37,3.45,54
14.82,4.83,0.13,3.45,50
19.92,12.06,1.01,8.09,42
41.99,29.28,0.01,5.58,115
59.95,29.53,0,5.17,145
48.96,23.73,0,6.21,137
61.79,24.41,0.01,6.63,152
37.17,26.8,0,6.35,119
42.12,27.04,0.01,6.02,107
48.55,26.26,0,5.78,124
45.78,28.65,0,5.84,122
57.31,26.18,0.02,5.98,138
57.94,20.66,0,6.3,144
49.3,22.59,0.01,6.08,140
116.63,21.4,0,6.32,251
33.74,21.19,0.01,6,137
48.76,27.79,0,6.47,112
27.22,32.62,0,5.88,124
73.92,43.28,0.32,19.13,146
96.85,32.62,1.13,9.91,237
60.41,38.15,0.81,3.2,124
54.89,38.02,0.01,3.8,114
62.42,34.95,0,3.59,158
33.74,37.24,0,2.31,120
48.16,29.8,0.01,8.56,117
52.3,27.98,0.01,0.71,125
93.43,28.7,0.01,5.36,140
112.18,34.1,0,6.94,306
63.86,33.08,0.01,4.71,135
65.15,33.27,0.01,3.23,130
62.87,31.37,0,7.56,135
62.95,36.7,0.01,5.91,125
53.8,33.28,0.01,9.49,101
76.21,26.18,0.02,7.11,115
61.69,33.08,0.01,4.06,127
69.19,37.59,0.01,6.2,131
54.54,41.71,0.01,3.5,131
23.84,40.65,0.01,3.75,94
34.41,39.35,0.01,0.87,91
43.93,30.82,0.02,6.34,99
61.91,31.59,0.02,4.16,118
72.97,35.39,0.01,4.08,138
81.51,37.44,0.01,2.73,160
56.93,35.26,0.02,4.48,143
62.09,29.75,0.02,2.4,126
64.23,22.13,0.01,2.07,149
74.91,24.35,0.01,1.32,144
72.08,27.11,0.01,1.97,154
70.27,27.48,0.01,4.17,131
78.42,33.79,0.05,2.98,184
92.38,21.67,0.17,2.87,170
77.42,19.65,0.05,3.41,176
45.44,27.8,0.01,3.54,131
34.45,32.28,0,3.49,81
28.29,29.28,0,2.33,77
14.54,31.28,0,1.61,70
24.39,27.86,0,1.83,69
27.89,25.9,0.02,2.92,64
37.34,21.51,0.04,3.2,75
45.99,25.32,0.03,2.85,98
69.5,28.99,0,3.76,101
52.22,24.15,0,3.48,118
27.56,36.82,0,2.83,83
41.63,18.15,0.01,4.66,132
72.66,19.13,0.01,7.15,121
47.29,16.36,0.01,3.85,119
21.95,15.49,0.01,10.4,85
35.6,13.73,0.36,2.58,74
37.63,10.68,0.67,2.35,85
38.35,16.64,0.5,51.84,109
30.74,16.64,0.89,62.24,97
43.75,28.21,0.87,36.35,97
74.98,69.8,0.94,7.94,114
59.63,64.12,1.03,14.18,147
65.93,38.61,0.97,45.27,119
54.21,72.44,1.29,67.26,120
84.41,29.71,0.83,32.97,147
97.06,31.61,0.96,14.65,198
93.87,15.08,1.07,27.27,244
37.95,18.64,0.79,26.86,116
90.72,12.11,1.03,26.99,174
36.44,10.57,0.82,4.84,99
69.3,9.09,0.8,26.79,112
34.17,39.57,0.66,11.66,101
38.31,14.91,0.73,16.1,99
31.87,9.74,1.06,20.38,76
49.54,9.31,0.9,22.3,100
37.44,10.04,0.84,13.1,102
46.62,30.3,0.76,23.13,90
58.24,47.67,1.09,25.23,106
38.7,63.38,0.76,12.84,108
26.47,11.18,0.91,17.6,79
22.15,8.36,0.89,16.45,71
34.8,8.64,1,17.25,77
32.11,13.58,0.99,15.4,77
38.02,32.18,0.86,25.47,81
43.03,22.68,1.42,24.33,100
57.3,27.38,0.94,33.42,123
55.89,20.02,1.19,21.88,122
58.44,13.55,0.84,25.04,121
49.65,11.27,1.2,19.91,124
63.82,10.54,0.39,14.4,135
38.14,7.91,0.58,6.54,148
51.45,9.43,0.68,16.63,104
46.72,9.22,0.53,12.95,103
35.52,9.41,0.7,22.39,79
39.76,9.65,0.86,19.92,90
39.17,10.66,1.09,20.21,94
34.67,10.5,0.73,21.96,98
50.27,22.83,0.69,22.77,113
52.25,13.75,0.62,9.37,122
40.12,11.14,0.55,15.21,101
41.37,10.38,0.61,35.25,98
71.78,11.13,1.17,33.19,126
44.71,10.76,0.79,9.81,106
62.47,11.16,0.78,9.02,104
52.47,9.73,0.56,5.29,91
55.22,8.66,0.76,18.32,153
31.45,8.29,0.84,6.59,121
22.63,11.89,1.01,13.58,81
30.66,16.42,0.77,13.33,94
30.83,8.14,0.75,12.05,100
20.91,8.09,0.77,9.28,96
16.57,7.71,0.59,6.39,65
24.92,8.78,0.42,5.53,66
22.93,10.12,0.29,11.97,100
39.66,10.55,0.72,12.92,94
39.39,10.47,0.43,9.23,127
34.2,10.6,0.37,10.98,126
38.51,10.58,0.49,12.69,93
35.45,10.73,0.46,7.28,86
39.52,10.62,0.38,6.6,98
39.29,10.8,0.38,6.95,105
15.97,10.65,0.47,5.66,77
33.24,10.16,0.37,6.76,73
23.68,8.8,0.59,2.13,59
38.8,9.07,0.47,5.1,67
25.52,9.21,0.45,1.71,69
52.38,16.7,0.34,7.4,89
60.87,27.4,0.24,7.78,146
48.44,25.05,0.48,4.99,110
50.87,15.78,0.3,5.78,142
24.63,26.07,0.2,4.37,60
41.52,18.92,0.32,5.2,51
32.36,10.18,0.3,7.66,73
24.46,10.4,0.29,8.03,52
31.59,20.49,0.39,5.37,53
29.65,14.02,0.4,4.57,64
36.65,11.3,0.53,8,61
34.1,10.68,0.47,17.74,60
43.15,10.4,0.31,11.1,71
48.85,9.49,0.17,12.12,75
43.72,9.53,0.38,15.18,79
28.22,9.31,0.27,12.54,70
24.73,9.94,0.5,11.8,46
27.5,10.97,0.43,15.86,55
26.73,13.84,0.63,16.16,55
29.12,14.06,0.26,14.42,51
25.95,14.3,0.08,11.39,48
17.41,9.96,0.35,12.07,47
23.92,10.22,0.51,21.06,47
16.58,9.41,0.1,9.62,42
24.34,9.82,0.54,5.44,45
41.6,9.07,0.54,5.36,67
31.11,9.13,0.24,4.81,59
33.02,9.18,0.28,5.25,56
27.95,8.96,0.5,5.53,52
27.18,8.96,0.48,2.96,61
21.42,9.28,0.15,5.62,54
21.94,9.3,0.51,7.89,43
27.52,9,0.49,4.6,53
32.26,9.02,0.27,7.12,54
20.54,8.87,0.28,6.38,53
23.62,9.02,0.76,5.33,50
23.28,9.19,0.62,5.42,58
22.43,9.19,0.57,5.57,50
19.43,9.19,0.42,6.13,44
11.69,9.19,0.56,9.05,39
16.58,9.16,0.29,6.64,45
25.06,9.19,0.53,6.39,48
42.78,9.07,0.29,6.24,68
34.69,8.91,0.22,6.12,77
34.9,8.83,0.24,9,69
42.01,8.87,0.28,5.79,77
36.3,9.14,0.55,6.49,68
44.57,8.95,0.18,8.7,84
35.47,9.47,0.3,5.48,64
37.27,11.54,0.47,6.96,60
42.27,19.49,0.61,6.46,70
41.31,8.82,0.38,5.8,80
29.85,8.92,0.57,9.33,54
41.67,8.81,1.49,21.08,79
43.4,8.81,0.82,5.98,144
20.82,8.81,0.68,5.7,64
32.17,8.81,0.94,6.19,55
32.83,8.77,1,6.3,70
28.54,12.06,0.84,5.78,68
38.61,16.01,1.17,7.33,70
39.22,11.7,0.94,9.5,81
41.36,11.2,0.3,9.68,77
40.96,10.7,0.86,9.26,79
35.44,10.91,1.13,12.01,84
45.56,14.37,1.52,16.32,103
42.86,10.58,0.67,7.64,85
33.95,17.21,0.47,12.85,79
37.32,11.66,0.09,15.59,56
43.51,10.94,0.35,12.01,75
31.24,11.3,1.37,15.55,91
27.76,11.15,1.29,20.75,97
33.91,11.05,1.42,43.86,90
46.92,10.93,0.69,41.56,87
29.63,10.91,0.51,6.26,66
29.2,10.56,0.6,10.52,61
60.23,10.91,1.17,20.53,87
78.08,10.88,0.96,10.46,146
35,10.44,0.81,13.46,96
21.75,10.49,0.68,8.25,60
12.58,10.51,0.57,9.96,63
16.26,10.54,0.56,16.98,48
18.15,10.58,0.62,21.48,57
27.76,10.66,0.82,49.41,67
28.07,10.32,0.58,10.21,84
24,10.56,0.09,6.6,55
30.18,10.3,0.21,4.8,60
66.88,12.09,0.32,4.7,86
34.53,11.41,0.23,3.05,94
48.2,11.35,0.28,1.51,132
47.82,12.56,0.33,4.19,81
36.76,11.64,0.31,1.64,77
38.85,11.53,0.39,11.45,94
22.66,11.53,0.63,9.21,58
42.86,11.51,0.52,7.06,87
62.48,11.51,0.54,7.47,110
80.27,14.51,0.54,12.37,147
96.33,18.14,0.46,13.85,227
84.31,11.56,0.36,13.78,179
90.71,13.12,0.87,15.28,198
107.98,8.57,0.56,15.87,234
116.05,9.11,0.79,17.71,212
249.1,19.85,0.31,34.17,399
111.47,10.03,0.46,11.65,309
127.13,9.78,0.57,13.88,247
139.65,10.01,0.31,10.92,321
154.49,9.94,0.37,19.27,313
110.95,9.91,0.52,10.06,313
155.83,10.98,0.34,9.75,302
104.21,10.64,0.71,12.97,288
97.09,32.85,0.53,10.5,261
137.13,9.95,0.48,10.68,254
34.94,9.95,0.55,8.74,212
24.18,10.04,0.8,10.71,54
42.84,10.04,0.78,9.2,72
84.92,10.24,0.41,10.17,140
84.63,10.25,0.8,11.04,160
168.71,10.31,0.78,12.55,285
189.44,10,0.48,16.3,358
148.61,10.09,0.56,20.51,334
103.87,10,0.65,29.92,317
86.49,9.91,0.36,13.01,259
42.18,10.01,0.66,7.93,110
101.44,10.01,0.65,11.37,162
147.55,10,0.56,11.86,322
91.41,9.98,0.47,13.04,235
112.55,9.99,0.66,18.42,280
57.31,10.01,0.59,13.92,157
24.07,9.99,0.67,8.75,85
32.98,9.99,0.67,10.45,74
39.29,9.99,0.48,10.74,108
30.77,10.03,0.48,16.2,113
31.91,10.02,0.63,14.87,64
25.36,9.85,0.65,12.42,44
26.37,10.32,0.74,13.18,47
41.64,10.15,0.64,8.22,60
60.29,10.06,0.71,8.9,89
84.89,9.93,0.5,9.17,145
87.69,10.05,0.59,10.68,183
90.75,10.6,0.16,13.24,220
66.85,13.89,0.5,9.82,147
54.62,11.54,0.24,11.64,106
74.16,10.78,0.82,18.45,121
67,12.9,0.74,12.39,123
103.57,15.08,0.7,12.35,187
128.64,14.02,0.66,10.06,291
86,12.72,0.54,13.79,245
28.77,12.31,0.72,4.02,186
24.95,14.74,0.77,4.81,43
39.26,13.75,0.71,7.47,59
30.72,11.28,0.64,6.67,58
41.03,12.41,0.81,5.42,55
49.45,13,0.65,5.64,74
58.96,14.96,0.72,6.09,95
63.18,12.09,0.68,5.98,107
108.34,11.94,0.62,7.66,171
52.95,13.09,0.63,6.56,184
62.11,12.12,0.61,5.04,96
69.27,13.24,0.53,7.18,108
97.42,9.83,0.64,7.05,210
52.73,10.53,0.74,6.27,141
58.57,10.62,0.8,6.96,91
77.3,10.73,0.73,11.3,126
80.31,10.78,0.64,11.47,156
80.8,10.88,0.75,10.01,193
71.17,10.78,0.4,7.65,155
71,10,0.59,8.42,111
94.38,10.38,0.42,15.79,184
80.8,10.44,0.3,12.54,196
78.22,10.03,0.62,11.43,160
96.86,10.02,0.11,8.12,221
65.12,9.67,0.28,11.92,156
33.39,10.43,0.6,6.75,88
36.74,9.77,0.57,7.53,58
24.14,10.12,0.62,6.32,46
56.17,10.05,0.68,20.5,66
55.79,9.74,0.47,6.87,103
55.64,10.19,0.73,10.87,87
44.56,9.99,0.8,17.99,87
47,10.01,0.4,6.24,74
31.25,9.89,0.66,6.54,64
64.93,10.17,0.68,7.84,111
37.05,10.04,0.63,15.16,98
21.05,10.07,0.8,7.78,63
27.42,10.01,0.73,7.05,63
43.96,9.93,0.6,8.46,70
71.6,10.17,0.7,11.04,108
45.03,10.69,0.73,15.78,107
61.56,10.77,0.64,11.17,90
42.4,10.82,0.64,10.61,96
20.48,10.7,0.98,6.87,55
27.36,10.35,0.55,6.8,60
21.43,10.15,0.47,9.95,102
67.56,21,0.49,6.95,111
55.53,12.2,0.54,7.43,99
74.16,11.48,0.46,8.99,121
62.25,13.47,0.33,7.3,124
92.15,11.59,0.9,9.69,152
113.54,11.18,0.21,10.05,282
63.68,10.13,1.03,7.86,144
84.93,10.4,0.3,9.07,190
38.88,13.17,0.5,2.5,133
42.33,11.27,0.76,10.04,112
33.14,10.48,0.66,8.33,107
41.33,10.41,0.78,10.64,106
69.4,10.43,0.44,10.13,132
66.39,11.42,0.87,9.98,139
59.59,11.48,0.74,11.15,128
58.55,13.05,0.76,9.63,121
71.27,14.77,0.31,9.85,134
58.17,13.89,1.33,7.4,127
67.24,11.73,0.64,11.92,128
26.4,12.31,0.62,11.35,108
22.15,12.55,0.83,21.92,76
32.33,11.96,0.78,9.91,92
33.46,11.38,0.61,10.78,101
55.5,10.82,0.44,13.85,118
22.09,11.96,0.72,14.65,97
17.61,11.14,0.74,11.49,68
17,11.2,0.82,8.51,59
25.44,11.41,0.82,11.62,70
20.71,11.81,0.82,6.74,75
43.24,12.66,0.73,9.44,96
40.15,13.18,0.62,8.1,107
17.08,11.62,0.78,8.52,72
21.05,11.98,0.7,12.75,69
25.65,12.99,0.73,21.74,79
38.07,12.39,0.68,9.82,95
41.78,10.31,0.72,9.56,106
45.62,10.48,0.64,9.77,110
39.08,10.28,0.62,16.11,107
40.61,10.97,0.48,27.59,111
33.78,11.47,0.68,23.06,96
24.57,11.39,0.7,19.46,93
30.12,10.34,0.84,9.34,78
26.35,10.94,1.27,7.73,86
15.6,10.79,0.86,6.41,64
22.63,11.82,0.73,7.16,66
20.29,13.83,0.73,6.22,71
12.03,12.76,0.76,6.2,54
17.74,11.56,0.76,6.7,60
21.35,11.05,0.71,7.21,67
21.91,10.68,0.78,6.82,69
14.18,10.29,0.77,6.3,65
13.97,10.82,0.78,6.22,63
17.52,10.69,0.76,6.57,61
22.8,10.84,0.69,7.4,58
34.73,10.78,0.69,8.68,60
20.09,11.21,0.85,8.49,45
29.47,11.55,0.59,9.63,52
22.37,10.67,0.64,6.33,59
32.05,18.96,0.73,6.55,68
22.61,17.01,0.73,7.65,61
17.45,11.4,0.7,7.76,45
8.8,11.43,0.8,5.88,43
11.33,11.33,0.82,8.85,44
16.35,12.25,0.68,9.64,51
9.84,13.03,0.79,13.02,47
13.72,14.02,0.74,9.17,48
14.67,16.84,0.84,8.59,56
20.68,16.25,0.67,8.94,68
15.74,16.48,0.77,17.19,74
14.78,15.44,0.69,11.17,60
11.2,32.33,0.75,6.42,51
13.63,21.57,0.79,7.08,56
24.61,19.19,0.76,9,72
23.98,17.26,0.76,8.5,102
32.01,14.93,0.78,9.5,118
28.37,16.36,0.63,8.45,118
15.46,18.66,0.78,7.07,91
19.64,16.05,0.81,8.64,61
18.81,14.69,0.73,7.44,77
23.32,12.39,0.82,10.3,75
18.39,26.95,0.73,8.99,60
34,24.27,0.83,10.06,71
37.31,18.78,0.75,10.47,87
39.62,13.69,0.7,10.16,94
32.14,15.65,0.67,7.82,75
24.59,16.79,0.82,9.74,61
44.76,15.63,0.74,9.08,67
42.22,15.84,0.61,9.03,95
21.61,15.94,0.91,9.9,52
35.91,14.83,0.75,9.26,61
39.96,15.98,0.75,11.8,75
44.56,17.48,0.67,26.68,76
34.55,14.96,0.69,22.25,65
43.35,15,0.69,11.86,68
52.58,15.55,0.68,10.76,80
68.2,13.29,0.62,23.16,115
54.78,12.8,0.48,18.35,106
29.01,11.41,0.61,19.01,74
16.29,10.6,0.76,17.75,69
51.47,10.31,0.97,34.05,81
37.21,10.97,0.56,14.45,77
43.68,10.33,0.49,10.98,81
29.99,11.22,0.73,12.3,67
24.14,14.87,0.66,6.28,63
13.33,22.14,0.63,8.09,48
19.12,39.8,0.71,11.8,43
26.84,21.62,0.68,17.71,65
26.72,12.54,0.58,10.48,478
30.13,15.08,0.74,16.68,193
20.75,21.48,0.72,10.49,56
15.5,15.84,0.77,8.67,41
26.99,15.1,0.59,6.56,42
27.07,13.52,0.59,8.56,51
27.87,9.17,0.71,12.02,89
24.76,8.31,0.65,10.76,104
31.92,8.01,0.69,10.86,87
28.49,7.97,0.75,16.73,103
37,16.04,0.68,13.24,110
40.46,26.2,0.73,9.2,117
34.6,18.43,0.74,12.51,117
47.94,12.63,0.62,10.92,131
55.58,53.34,0.71,5.53,120
39.81,18.72,0.68,4.64,72
68.81,12.03,0.67,4.36,125
23.77,9.97,0.59,7.21,130
31.68,10.71,0.74,5.83,59
32.85,18.01,0.66,4.79,83
45.24,17.9,0.63,5.22,85
26.77,19.83,0.67,4.89,49
41.64,15.97,0.69,4.67,66
57.67,15.11,0.59,3.48,78
27.93,4.71,0.79,9.36,93
34.05,9.83,0.93,4.27,96
38.1,3.3,0.65,14.74,88
40.41,3.96,0.55,9.97,71
27.21,7.2,0.53,9.63,69
29.75,5.64,0.55,8.67,68
18.35,4.55,0.51,8.83,59
34.43,4.23,0.66,8.71,74
33.66,6.56,0.73,8.19,102
22.93,6.05,0.79,12.05,94
16,5.25,0.83,12.05,80
22.41,5.06,0.56,13.4,77
13.93,3.31,0.5,14.95,48
24.45,5.3,0.85,16.05,68
15.77,5.38,0.54,15.9,58
29.59,7.86,0.71,16.42,58
30.27,8.1,0.46,18.14,74
25.9,4.75,0.44,15.09,72
38.69,4.05,0.49,14.44,83
53.09,5,0.51,11.35,94
43.67,4.64,0.61,12.42,106
53.12,5.73,0.85,13.54,108
56.82,6.53,0.74,12.52,117
50.45,6.51,0.74,10.38,107
58.03,5.64,0.72,12.45,107
57.61,4.3,0.71,11.66,98
74.8,6.28,0.83,13.5,135
73.44,6.34,0.95,12.4,138
83.96,6.6,1,10.71,158
80.65,7.57,0.88,10.2,187
56.2,5.93,0.61,10.23,122
51.84,5.48,0.62,11.54,110
53.9,5.4,0.59,11.04,105
53.79,5.22,0.54,10.41,111
47.72,4.3,0.54,9.55,108
46.9,5.96,0.73,10.67,104
71.66,7.38,0.91,9.69,110
92.3,7.59,0.99,10.21,190
104.11,6.84,0.82,10.29,231
122.16,16.3,0.73,9.92,253
154.85,13.6,0.82,9.24,335
110.06,19.43,1.29,9.28,268
108.09,11.43,1.01,8.21,270
109.17,10.06,0.99,8.87,262
112.71,13.46,0.89,8.29,270
123.26,11.76,1.02,9.04,297
135.98,8.11,0.98,11.2,283
114.56,6.33,0.69,9.56,322
53.96,6.08,0.54,9.81,148
58.85,7.78,1.02,11.69,117
46.3,9.68,0.79,8.19,100
45.3,8.67,0.74,9.2,82
96.95,17.22,0.85,10.64,245
63.35,10.68,0.5,8.08,165
42.54,9.85,0.42,9.32,94
61.85,25.44,0.67,9.22,87
84.1,17.06,0.53,9.45,256
44.9,18.03,0.45,10.79,107
46.55,51.27,0.87,11.2,80
61.28,48.98,0.84,9.71,111
32.56,52.22,0.85,10.94,88
42,29.43,0.85,10.01,100
50.57,8.06,0.88,10.77,95
55.52,10.22,0.77,10.78,92
59.05,12.28,0.73,10.18,107
78.39,11.11,0.61,8.67,122
81.14,15.46,0.77,6.36,166
91.88,13.5,1.3,9.59,199
92.12,5.08,1.25,9.06,204
77.58,10.6,0.96,10.33,186
69.8,12.89,1,10.46,139
69.48,14.4,0.87,10.54,142
97.55,21.94,0.92,11.4,157
90.07,20.88,0.86,11.91,218
119.05,21.97,1.06,10.15,211
108,23.28,1.01,8.2,307
21.86,14.69,0.4,7.97,115
39,14.96,0.48,10.16,44
39.25,11.3,0.51,9.65,70
41.79,10.15,0.53,6.58,69
61.95,12.21,0.53,6.01,89
49.36,11.18,0.62,5.7,95
91.41,14.2,0.66,7.77,149
98.48,14.95,0.8,8.64,204
68.55,11.44,0.8,5.95,199
46.06,11.25,0.62,6.88,101
41.79,12.09,0.66,6.83,80
67.27,13.21,0.72,6.88,110
35.08,9.79,0.49,5.65,96
38.86,10.41,0.49,6.14,69
61.39,14.23,0.58,4.76,97
77.1,11.78,0.69,6.58,127
58.68,12.41,0.77,5.62,149
72.34,16.28,1.04,6.59,102
77.06,14.74,1.24,7.27,206
63.22,15.96,1.11,7.79,132
45.65,13.18,0.97,8.9,109
45.79,11.14,0.93,11.32,102
53.46,13.16,0.84,9.13,100
51.15,13.63,0.64,8.39,109
37.92,12.04,0.57,9.79,85
28.87,11.69,0.79,8.73,56
31.92,9.94,0.61,7.9,48
28.35,11.19,0.44,5.58,49
27.82,11.61,0.5,6,58
46.57,15.57,0.76,6.55,80
75.8,17.6,0.92,9.83,123
63.64,15.63,0.88,7.38,170
39.14,9.24,0.69,6.7,88
46.49,12.03,0.68,7.03,77
40.07,11.91,0.67,6.47,80
48.86,10.91,0.75,7.18,85
58.57,11.8,0.69,8.39,110
46.76,11.33,0.78,7.99,112
54.78,13.64,0.96,6.46,93
65.75,16.84,1.03,9.06,136
41.75,12.43,0.73,7.32,112
29.8,10.72,0.43,5.37,73
27.35,13.16,0.54,5.84,75
50.16,13.38,1.03,7.56,99
63.05,14.09,0.9,8.11,117
70.05,18.67,0.98,8.26,93
40.04,17.71,0.64,7.53,142
23.83,16.39,0.51,7.44,72
26.33,11.56,0.46,5.88,76
33.27,12.56,0.6,6.3,55
46.01,15.01,0.82,7.97,95
36.92,12.5,0.57,6.96,75
45.69,14.34,0.76,7.01,95
48.43,16.22,0.87,8.97,113
44.5,11.9,0.5,7.05,98
44.26,13.75,0.71,7.71,83
52.11,17.65,0.82,9.1,102
56.44,15.27,0.67,7.94,91
58.61,19.65,0.82,10.03,101
58.08,18.27,0.89,8.69,109
55.99,17.75,0.85,8.71,109
54.47,15.96,0.65,8.35,110
45.96,14.52,0.59,9.29,102
38.65,13.63,0.49,8.37,94
38.73,14.94,0.56,9.09,94
44.75,18.43,0.68,9.39,99
37.34,17.18,0.61,8.07,88
39.85,17.63,0.66,9.85,94
49.94,23.78,1,8.79,124
40.09,22.32,0.66,10.52,114
17.74,19.61,0.58,11.11,72
28.86,16.27,0.61,9.63,50
26.21,16.68,0.67,10,64
22.11,14.65,0.54,10.26,61
31.08,17.82,0.65,11.05,78
36.76,21.72,0.91,11.17,83
55.33,22.96,1.03,11.55,112
48.22,19.63,0.79,9.13,112
24.21,19.64,0.63,8.1,86
16.87,19.34,0.7,9.37,62
32.21,19.91,0.72,11.08,66
35.14,16.91,0.6,9.75,82
35.6,21.84,0.77,10.94,97
20.93,21.44,0.52,8.94,86
13.67,17.43,0.4,7.91,49
13.4,12.2,0.57,6.45,35
22.56,14.69,0.66,8.51,62
21.62,13.26,0.38,7.63,47
29.78,18.13,0.6,9.69,69
27.87,20.98,0.63,8.38,74
19.08,19.73,0.54,8.23,49
17.86,18.04,0.46,8.05,50
9.63,12.29,0.38,10.93,29
10.57,9.66,0.46,9.47,30
21.2,9.14,0.47,10.27,56
18.52,8.04,0.5,9.45,77
20.51,8.72,0.56,9.75,79
23.59,11.22,0.66,10.23,85
24.17,12.79,0.76,14.03,79
21.88,12.43,0.71,13.58,76
18.63,9.7,0.53,11.7,62
14.77,10.02,0.54,11.08,39
16.69,9.91,0.5,11.95,36
15.43,8.88,0.52,11.13,35
13.28,8.79,0.5,10.54,39
18.86,9.17,0.5,9.61,40
7.73,9.4,0.38,9.64,26
18.82,9.31,0.3,10.6,30
12.34,10.05,0.38,9.61,38
15.51,10.85,0.49,9.39,34
12.25,10.86,0.4,10.8,32
11.2,9.8,0.39,8.68,34
11.91,11.26,0.39,7.84,33
12.77,11.97,0.46,10.1,34
15.43,13.07,0.54,10.4,35
20.93,10.91,0.41,12.81,41
11.46,9.63,0.38,7.77,45
11.19,11.89,0.42,9.68,38
10,12.34,0.5,9.6,35
12.37,11.89,0.47,9.6,36
14.16,11.66,0.53,10.29,42
15.62,10.16,0.51,12.02,46
19.73,10.72,0.54,9.92,45
18.52,11.69,0.57,10.29,56
22.97,11.23,0.49,10.92,71
21.93,11.04,0.59,13.23,74
10.05,10.35,0.37,8.81,55
6.86,10.47,0.41,8.56,39
11.4,11.89,0.57,9.65,34
12.87,13.35,0.47,13.26,37
11.29,12.47,0.58,9.62,41
16.05,12.3,0.59,10.74,50
14.91,13.2,0.6,11.72,57
17.25,11.93,0.57,13.36,63
12.34,12.06,0.53,11.13,51
10.3,12.76,0.53,11.83,35
12.25,13.24,0.45,10.82,40
14.57,12.76,0.59,13.77,40
21.39,10.33,0.56,13.18,54
22.24,11.59,0.54,14.28,60
19.81,9.84,0.45,12.38,64
17.98,8.65,0.45,8.91,66
10.42,11.69,0.51,8.62,50
17.99,13.03,0.48,12.12,52
16.21,12.43,0.46,12.46,60
13.54,12.5,0.59,12.11,56
18.31,13.77,0.64,13.67,64
23,13.92,0.61,13.91,74
24.15,12.1,0.67,10.23,77
16.39,13.19,0.51,10.11,92
17.07,13.43,0.49,10.11,62
34.57,16.16,0.71,13.26,66
29.6,11.53,0.64,11.32,81
12.35,11.65,0.41,9.11,63
20.83,12.38,0.58,12.49,60
22.99,14.01,0.62,14.73,64
21.46,13.04,0.59,11.78,65
16.47,15.7,0.48,10.49,66
17.59,4.12,0.5,11.89,60
29.03,3.97,0.6,14.87,82
35.93,4.31,0.67,13.91,116
35.26,4.15,0.56,12.99,130
24.52,4.5,0.45,10.63,104
26.31,4.43,0.45,14.61,91
29.31,4.14,0.38,17.55,97
19.09,5.67,0.38,16.16,107
19.87,7.07,0.42,12.95,98
11.88,6.59,0.55,11.69,77
15.25,5.34,0.48,9.53,48
16.6,5.43,0.68,9.95,46
18.59,5.11,0.49,13.92,56
18.36,5.02,0.32,11.65,57
16.71,9.17,0.2,12.02,67
14.48,10.16,0.2,11.58,72
21.25,9.52,0.23,10.36,54
22.07,8.37,0.29,13.94,50
16.35,14.64,0.3,11.11,53
21.12,14.96,0.3,12.61,61
29.37,11.05,0.29,16.51,63
24.53,12.04,0.32,10.59,72
25.59,10.68,0.3,11.46,78
33.92,8.16,0.31,14.37,87
25.68,11.6,0.3,8.41,85
21.72,8.43,0.3,12.65,71
21.74,6.21,0.31,12.87,73
21.2,11.63,0.3,13.31,73
20.84,7.87,0.31,11.98,72
28.75,8.61,0.31,8.31,72
16.34,8.53,0.31,7.94,82
23.97,9.83,0.3,7.64,58
26.45,9.1,0.28,9.62,76
21.69,9.25,0.3,14.34,61
19.17,7.69,0.29,8.71,53
16.79,8.58,0.3,8.3,38
14.15,6.87,0.3,13.13,37
31.84,7.4,0.31,10.19,68
35.55,6.79,0.3,7.42,79
39.42,7.21,0.29,13.08,73
38.89,8.57,0.3,15.06,83
20.28,7.36,0.3,12.3,71
